Wavelength / nm,Molar Absorptivity / M-1 cm-1
407.5833,3821.12787
407.7888,3803.216063
407.9942,3826.463443
408.1997,3794.378017
408.4051,3771.110971
408.6105,3745.207827
408.8159,3698.566276
409.0213,3691.607717
409.2267,3626.688643
409.432,3588.489399
409.6374,3468.578775
409.8427,3461.431851
410.048,3396.900168
410.2533,3317.052162
410.4586,3293.875341
410.6639,3287.206321
410.8691,3227.407804
411.0744,3143.215047
411.2796,3078.612968
411.4848,3105.681482
411.69,3069.632893
411.8952,2995.336874
412.1004,2908.367633
412.3056,2839.70929
412.5107,2848.339888
412.7158,2838.76127
412.921,2864.092439
413.1261,2818.715833
413.3312,2802.895675
413.5362,2803.351868
413.7413,2820.682445
413.9464,2827.25252
414.1514,2802.732928
414.3564,2854.753898
414.5614,2796.999107
414.7664,2757.531357
414.9714,2717.211928
415.1764,2727.801348
415.3813,2777.666536
415.5863,2733.311038
415.7912,2702.316096
415.9961,2687.338713
416.201,2686.895223
416.4059,2697.747179
416.6108,2645.944737
416.8156,2586.775579
417.0205,2538.391763
417.2253,2528.016604
417.4301,2502.685441
417.6349,2443.509211
417.8397,2442.559561
418.0445,2363.302877
418.2492,2367.368686
418.454,2294.477131
418.6587,2277.493061
418.8634,2231.7409
419.0681,2193.134613
419.2728,2121.961069
419.4775,2023.253042
419.6822,2030.686026
419.8868,1977.417979
420.0915,1929.811893
420.2961,1842.820613
420.5007,1832.668895
420.7053,1827.633015
420.9099,1843.587038
421.1144,1840.747665
421.319,1817.114293
421.5235,1813.471598
421.728,1835.387073
421.9325,1829.072665
422.137,1826.08767
422.3415,1771.673819
422.546,1771.373579
422.7504,1759.941043
422.9549,1750.118707
423.1593,1767.655154
423.3637,1735.581173
423.5681,1756.673401
423.7725,1715.249376
423.9769,1711.395181
424.1812,1764.337143
424.3856,1773.624688
424.5899,1717.319723
424.7942,1708.449529
424.9985,1697.849137
425.2028,1665.344595
425.4071,1717.585974
425.6113,1704.927027
425.8156,1644.539003
426.0198,1586.019254
426.224,1531.630047
426.4282,1510.922971
426.6324,1511.278784
426.8366,1535.896636
427.0407,1486.003176
427.2449,1477.326909
427.449,1539.087118
427.6531,1517.527759
427.8572,1459.594292
428.0613,1471.308994
428.2654,1428.667343
428.4694,1442.653484
428.6735,1478.775476
428.8775,1477.774596
429.0815,1423.176884
429.2855,1443.912305
429.4895,1373.977598
429.6935,1378.191055
429.8975,1385.157579
430.1014,1428.822774
430.3053,1466.983182
430.5093,1453.795509
430.7132,1431.068754
430.9171,1379.425863
431.1209,1388.223425
431.3248,1368.099868
431.5286,1347.811539
431.7325,1357.536534
431.9363,1365.876066
432.1401,1303.344106
432.3439,1281.005634
432.5477,1223.004433
432.7514,1207.254537
432.9552,1175.097611
433.1589,1195.293937
433.3627,1095.571315
433.5664,1073.018896
433.7701,1041.054859
433.9737,1025.442526
434.1774,996.9466347
434.3811,956.0090908
434.5847,991.2417495
434.7883,969.9834614
434.9919,944.41839
435.1955,923.8252648
435.3991,941.9704599
435.6027,912.5560682
435.8062,915.3625569
436.0098,894.8104079
436.2133,929.086012
436.4168,896.389424
436.6203,958.0003306
436.8238,902.6092111
437.0272,897.0647315
437.2307,852.0462918
437.4341,928.4953256
437.6375,942.0762722
437.841,927.0352716
438.0443,942.830744
438.2477,886.2069293
438.4511,855.9588649
438.6545,832.5836816
438.8578,798.5854821
439.0611,797.9928101
439.2644,820.0021478
439.4677,780.8500212
439.671,737.8890791
439.8743,670.7360279
440.0775,680.8133065
440.2808,659.0098518
440.484,681.4702169
440.6872,636.7435998
440.8904,610.278122
441.0936,603.9498101
441.2967,621.1732957
441.4999,595.0314497
441.703,573.0931763
441.9062,585.1084276
442.1093,572.8953813
442.3124,578.9249958
442.5155,602.5392554
442.7185,559.9534723
442.9216,553.7027337
443.1246,559.5424033
443.3276,565.7549538
443.5307,564.3800916
443.7337,570.4055727
443.9366,561.2830159
444.1396,604.1093668
444.3426,596.0624018
444.5455,566.9555169
444.7484,578.385607
444.9513,613.1791915
445.1542,582.4179649
445.3571,569.9001105
445.56,567.5586242
445.7628,578.4649889
445.9657,555.8223748
446.1685,514.3486484
446.3713,566.6097755
446.5741,560.3691976
446.7769,564.9590023
446.9797,572.9873772
447.1824,566.5896451
447.3852,512.5988122
447.5879,496.0448383
447.7906,492.0842234
447.9933,480.0293879
448.196,380.7656821
448.3986,323.6668567
448.6013,311.5623942
448.8039,302.7319871
449.0066,271.0539649
449.2092,294.2364864
449.4118,257.0251571
449.6143,247.9155227
449.8169,228.2639184
450.0195,188.6048459
450.222,174.6108611
450.4245,139.7318836
450.627,128.7329912
450.8295,128.523373
451.032,133.8074573
451.2345,106.3805455
451.4369,119.7969267
451.6394,147.6402826
451.8418,180.7765179
452.0442,215.7988593
452.2466,249.5853659
452.449,312.15958
452.6513,347.4286466
452.8537,328.2874163
453.056,350.2037467
453.2583,364.2351414
453.4607,394.2574889
453.663,374.0774975
453.8652,337.2444913
454.0675,344.2916149
454.2697,351.9799117
454.472,321.1697063
454.6742,320.7605677
454.8764,348.1149277
455.0786,347.0949782
455.2808,346.8921799
455.4829,351.2722587
455.6851,309.894527
455.8872,247.602359
456.0893,234.8011498
456.2915,222.3042834
456.4935,227.3652418
456.6956,223.8017677
456.8977,252.1096524
457.0997,236.4434958
457.3018,217.2802269
457.5038,239.2055983
457.7058,245.6306486
457.9078,258.3195938
458.1098,267.6934441
458.3117,290.3673147
458.5137,287.3589219
458.7156,330.1319269
458.9175,306.7475826
459.1194,302.9733827
459.3213,321.7110486
459.5232,308.7829664
459.725,327.2760144
459.9269,329.4565789
460.1287,334.5459427
460.3305,348.9915786
460.5323,316.1420572
460.7341,328.3767785
460.9359,290.4335527
461.1376,300.4435122
461.3394,289.2133775
461.5411,254.8279947
461.7428,241.30203
461.9445,258.2691132
462.1462,268.3099574
462.3479,261.2129182
462.5495,288.3700094
462.7512,253.2525858
462.9528,251.2670059
463.1544,285.7241296
463.356,284.7272124
463.5576,303.7663516
463.7592,296.9431099
463.9607,306.119604
464.1623,311.4213862
464.3638,249.9565302
464.5653,249.3232335
464.7668,193.1425998
464.9683,183.596968
465.1697,129.3391757
465.3712,116.9748317
465.5726,172.7135991
465.7741,169.1839602
465.9755,142.91429
466.1769,149.9963055
466.3782,113.5644292
466.5796,96.2388973
466.7809,71.76020641
466.9823,28.02876297
467.1836,39.56770098
467.3849,6.891200744
467.5862,17.92372122
467.7875,70.79088373
467.9887,72.01741343
468.19,65.25639411
468.3912,146.7575077
468.5924,180.1939015
468.7936,200.0168099
468.9948,220.1446524
469.196,284.2620699
469.3972,347.2063972
469.5983,301.1095714
469.7994,313.9010039
470.0006,321.2720417
470.2017,280.6531142
470.4027,250.7823406
470.6038,259.2504745
470.8049,249.4302465
471.0059,273.2680973
471.2069,185.3294072
471.408,150.9168018
471.6089,92.89588895
471.8099,60.54682069
472.0109,76.45220386
472.2119,88.11061593
472.4128,71.83058992
472.6137,66.76187485
472.8146,79.88427524
473.0155,57.31615761
473.2164,62.20181064
473.4173,17.60562702
473.6181,0
473.819,40.89896563
474.0198,64.23386576
474.2206,75.77831495
474.4214,151.3646589
474.6222,162.5842996
474.8229,178.5835823
475.0237,192.1176066
475.2244,215.2836128
475.4251,293.8354732
475.6258,374.8360524
475.8265,330.7816945
476.0272,326.7769819
476.2278,311.5467842
476.4285,303.8900832
476.6291,267.8083887
476.8297,276.3387511
477.0303,293.5391778
477.2309,258.1211994
477.4315,240.2273487
477.632,252.3022862
477.8326,243.6206081
478.0331,243.9336768
478.2336,268.7843119
478.4341,240.1368592
478.6346,230.72275
478.8351,219.8521653
479.0355,214.5954745
479.236,215.872877
479.4364,179.6032007
479.6368,151.1939483
479.8372,138.0792112
480.0376,135.2182081
480.2379,125.1647687
480.4383,149.885265
480.6386,190.6325754
480.8389,207.3602817
481.0392,214.5800606
481.2395,222.6567722
481.4398,239.1382817
481.6401,231.318387
481.8403,216.5132456
482.0405,191.9567986
482.2408,203.4225732
482.441,217.9914773
482.6411,209.9731818
482.8413,211.0483896
483.0415,204.2544657
483.2416,208.8630434
483.4417,224.953596
483.6419,207.9688716
483.8419,247.7077893
484.042,256.2399765
484.2421,291.25132
484.4422,242.3384565
484.6422,224.3465911
484.8422,186.0520068
485.0422,208.6022253
485.2422,218.2723019
485.4422,210.5357435
485.6422,233.9930623
485.8421,218.3187893
486.042,228.8180029
486.242,200.5757443
486.4419,203.5413238
486.6417,187.0181837
486.8416,202.6202687
487.0415,201.9283668
487.2413,208.5101933
487.4411,194.3734297
487.641,178.472438
487.8408,185.6911602
488.0405,174.0559004
488.2403,162.0821293
488.4401,188.7481355
488.6398,159.5986446
488.8395,172.3717877
489.0392,143.4006341
489.2389,144.118771
489.4386,134.4926213
489.6383,91.01157719
489.8379,75.72735479
490.0376,64.6708387
490.2372,63.91231079
490.4368,34.51407469
490.6364,50.17949565
490.836,49.14081573
491.0355,63.25299237
491.2351,61.03426409
491.4346,79.20347909
491.6341,63.10729546
491.8336,69.44273003
492.0331,74.56625621
492.2326,74.43473352
492.432,59.52626759
492.6315,109.8905485
492.8309,111.4004512
493.0303,123.1393749
493.2297,62.56273245
493.4291,62.46773153
493.6284,94.75037496
493.8278,83.79476115
494.0271,125.3276718
494.2264,126.3093825
494.4257,151.1689386
494.625,166.3277978
494.8243,188.4073219
495.0236,178.3188767
495.2228,202.1800809
495.422,221.2133878
495.6213,269.7448516
495.8205,263.0544474
496.0196,300.8243127
496.2188,301.6350912
496.418,310.1704303
496.6171,296.4862546
496.8162,297.096267
497.0153,283.9668395
497.2144,364.8299316
497.4135,397.1261518
497.6126,375.1443151
497.8116,394.7531509
498.0107,389.6715256
498.2097,380.1979496
498.4087,387.4117688
498.6077,382.9378362
498.8067,375.6990107
499.0056,399.9505874
499.2046,383.0859369
499.4035,363.8843662
499.6024,343.720579
499.8013,334.8462619
500.0002,328.1493367
500.1992545,321.5863499
500.3982045,315.1546229
500.5971545,308.8515305
500.7961045,302.6744999
500.9950545,296.6210099
501.1940045,290.6885897
501.3929545,321.2494
501.5919045,314.824412
501.7908545,308.5279238
501.9898045,302.3573653
502.1887545,296.310218
502.3877045,290.3840136
502.5866545,284.5763333
502.7856045,278.8848067
502.9845545,273.3071105
503.1835045,267.8409683
503.3824545,262.484149
503.5814045,257.234466
503.7803545,252.0897767
503.9793045,247.0479811
504.1782545,242.1070215
504.3772045,237.2648811
504.5761545,232.5195835
504.7751045,227.8691918
504.9740545,223.311808
505.1730045,218.8455718
505.3719545,214.4686604
505.5709045,210.1792872
505.7698545,205.9757014
505.9688045,201.8561874
506.1677545,197.8190636
506.3667045,193.8626824
506.5656545,189.9854287
506.7646045,186.1857201
506.9635545,182.4620057
507.1625045,178.8127656
507.3614545,175.2365103
507.5604045,171.7317801
507.7593545,168.2971445
507.9583045,164.9312016
508.1572545,161.6325776
508.3562045,158.399926
508.5551545,155.2319275
508.7541045,152.127289
508.9530545,149.0847432
509.1520045,146.1030483
509.3509545,143.1809873
509.5499045,140.3173676
509.7488545,137.5110202
509.9478045,134.7607998
