D4ACN5uMEx470nmA,,D4ACN5uMEx460nmA,,D4ACN5uMEx450nmA,,D4ACN5uMEx440nmA,,D4ACN5uMEx430nmA,,D4ACN5uMEx420nmA,,D4ACN5uMEx410nmA,,D4ACN5uMEx400nmA,,D4ACN5uMEx470nmB,,D4ACN5uMEx460nmB,,D4ACN5uMEx450nmB,,D4ACN5uMEx440nmB,,D4ACN5uMEx430nmB,,D4ACN5uMEx420nmB,,D4ACN5uMEx410nmB,,D4ACN5uMEx400nmB,,D4ACN5uMEx470nmC,,D4ACN5uMEx460nmC,,D4ACN5uMEx450nmC,,D4ACN5uMEx440nmC,,D4ACN5uMEx430nmC,,D4ACN5uMEx420nmC,,D4ACN5uMEx410nmC,,D4ACN5uMEx400nmC,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
498.9299927,14.29586029,488.9299927,45.30825806,478.9299927,105.5351105,468.9299927,140.5330811,458.9299927,102.75383,448.9299927,38.90943527,439.0700073,10.16408157,428.9299927,2.586726189,498.9299927,14.06189537,488.9299927,45.76203537,478.9299927,106.3172302,468.9299927,140.4730988,458.9299927,103.7105255,448.9299927,38.80256271,439.0700073,10.14872837,428.9299927,2.290156364,498.9299927,14.34260941,488.9299927,45.84525299,478.9299927,105.5285187,468.9299927,139.7926331,458.9299927,102.6489182,448.9299927,38.54566193,439.0700073,10.38114262,428.9299927,2.491019964
500,14.46261978,490,46.36746216,480,109.8368683,470,147.9745178,460,113.4078827,450,44.29258728,440,11.64367008,430,2.81434536,500,14.50156689,490,46.29868317,480,110.2925644,470,148.9230194,460,114.1324005,450,44.52225494,440,11.57678413,430,2.955865145,500,14.56502628,490,46.36608124,480,110.4278717,470,147.3677063,460,112.7346344,450,44.28138733,440,11.94136429,430,2.875029325
501.0400085,14.49105644,491.0599976,47.1990242,481.0599976,113.8134766,471.0599976,156.1865082,461.0599976,124.1118927,451.0599976,49.48324966,441.0599976,13.42919445,431.0700073,3.068838835,501.0400085,14.58309746,491.0599976,47.49615479,481.0599976,113.6052628,471.0599976,157.8783264,461.0599976,123.9873962,451.0599976,50.33441544,441.0599976,13.72899246,431.0700073,3.056060314,501.0400085,14.6010294,491.0599976,47.32709885,481.0599976,112.5739899,471.0599976,156.0371552,461.0599976,123.0937653,451.0599976,49.53477859,441.0599976,13.76505184,431.0700073,3.227338314
501.9400024,14.47923565,491.9599915,47.97357941,481.9599915,116.7436371,471.9599915,163.6464691,461.9599915,134.2345886,451.9599915,55.38265991,441.9599915,15.37454033,432,3.721580029,501.9400024,14.61309719,491.9599915,48.09981537,481.9599915,116.9898376,471.9599915,164.738678,461.9599915,134.9978027,451.9599915,55.86675262,441.9599915,15.35609341,432,3.404882193,501.9400024,14.43537331,491.9599915,47.75350952,481.9599915,115.9312057,471.9599915,162.873703,461.9599915,134.2294922,451.9599915,54.95402145,441.9599915,15.01250553,432,3.468391418
502.980011,14.53261757,493.0299988,48.14975739,483.0299988,120.1263199,473.0299988,171.7958069,463.0299988,146.7581635,453.0299988,61.97639084,443.0299988,17.85212135,433.0700073,4.172242641,502.980011,14.76005459,493.0299988,48.2043457,483.0299988,120.0112,473.0299988,173.2816315,463.0299988,147.1836243,453.0299988,62.23448181,443.0299988,17.84852982,433.0700073,4.06546545,502.980011,14.88078785,493.0299988,48.35172272,483.0299988,119.3473587,473.0299988,172.3447723,463.0299988,146.1040039,453.0299988,61.42453766,443.0299988,17.84673309,433.0700073,4.255996704
504.019989,14.59638977,493.9299927,48.52489853,483.9299927,122.7643509,473.9299927,180.8148651,463.9299927,156.4244537,453.9299927,68.23242188,443.9299927,20.05644608,434,4.57022047,504.019989,14.40783119,493.9299927,48.60948181,483.9299927,123.3803787,473.9299927,181.6957703,463.9299927,156.9693298,453.9299927,69.46579742,443.9299927,20.29935074,434,4.541212082,504.019989,14.63366508,493.9299927,48.5880394,483.9299927,122.7654266,473.9299927,179.7996674,463.9299927,156.3724365,453.9299927,67.84687042,443.9299927,20.16959572,434,4.696357727
505.0700073,14.83986473,495,49.47037888,485,126.2378082,475,189.6811371,465,168.8714142,455,76.96646118,445,23.59845734,435.0700073,5.759467602,505.0700073,14.63179588,495,49.42925644,485,126.0801849,475,189.3368073,465,168.8219299,455,77.9584198,445,23.63516808,435.0700073,5.365680218,505.0700073,14.48892593,495,49.11493683,485,126.3732758,475,187.6565399,465,167.7468262,455,76.92308044,445,23.58844757,435.0700073,5.544892311
505.9700012,14.60150051,496.0599976,50.16951752,486.0599976,129.0734406,476.0599976,196.1158295,466.0599976,179.9875488,456.0599976,85.45497131,446.0599976,26.46623802,436,6.297561169,505.9700012,14.83005714,496.0599976,50.17777252,486.0599976,129.7028046,476.0599976,197.4385529,466.0599976,181.2358856,456.0599976,86.16123199,446.0599976,26.9745369,436,6.265515804,505.9700012,14.52414989,496.0599976,49.79792023,486.0599976,129.0487213,476.0599976,194.6644592,466.0599976,179.934967,456.0599976,85.49393463,446.0599976,26.92642212,436,6.166728497
507.0100098,14.23685265,496.9599915,50.12141418,486.9599915,131.5245972,476.9599915,202.8778839,466.9599915,191.8311768,456.9599915,95.00823212,446.9599915,29.87599945,437.0700073,7.142246246,507.0100098,14.69806099,496.9599915,50.34796524,486.9599915,131.3745728,476.9599915,204.9960785,466.9599915,193.0899048,456.9599915,95.10694122,446.9599915,29.93618774,437.0700073,7.159086704,507.0100098,14.3258543,496.9599915,49.93698883,486.9599915,131.2769318,476.9599915,203.1197968,466.9599915,191.7890625,456.9599915,93.564888,446.9599915,29.8780117,437.0700073,7.150919437
508.0499878,14.21318531,498.0299988,50.55210495,488.0299988,134.2207031,478.0299988,211.8345947,468.0299988,206.2618561,458.0299988,104.171257,448.0299988,34.45890427,438,8.303269386,508.0499878,14.47641373,498.0299988,50.7987442,488.0299988,134.0907898,478.0299988,212.0336914,468.0299988,206.6009521,458.0299988,104.4152908,448.0299988,34.62533951,438,8.572008133,508.0499878,14.44526768,498.0299988,50.12813187,488.0299988,134.1297455,478.0299988,210.9141388,468.0299988,204.1068726,458.0299988,103.4855804,448.0299988,34.27909851,438,8.429571152
