D4ACN5uMEx470nmA,,D4ACN5uMEx460nmA,,D4ACN5uMEx450nmA,,D4ACN5uMEx440nmA,,D4ACN5uMEx430nmA,,D4ACN5uMEx420nmA,,D4ACN5uMEx410nmA,,D4ACN5uMEx400nmA,,D4ACN5uMEx470nmB,,D4ACN5uMEx460nmB,,D4ACN5uMEx450nmB,,D4ACN5uMEx440nmB,,D4ACN5uMEx430nmB,,D4ACN5uMEx420nmB,,D4ACN5uMEx410nmB,,D4ACN5uMEx400nmB,,D4ACN5uMEx470nmC,,D4ACN5uMEx460nmC,,D4ACN5uMEx450nmC,,D4ACN5uMEx440nmC,,D4ACN5uMEx430nmC,,D4ACN5uMEx420nmC,,D4ACN5uMEx410nmC,,D4ACN5uMEx400nmC,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
,,698,2.092082024,688,5.310364723,677.9699707,10.75426483,668,18.395998,657.9699707,23.3103714,647.9699707,29.48783684,637.9400024,35.62791443,,,698,2.048169613,688,5.456203938,677.9699707,11.05254173,668,18.4461689,657.9699707,23.64821815,647.9699707,29.38715553,637.9400024,35.42910385,,,698,2.092809916,688,5.382678032,677.9699707,10.95521355,668,17.91925621,657.9699707,23.26028061,647.9699707,29.49808311,637.9400024,35.46871948
,,699,2.010320425,689,5.281476974,678.9799805,10.46786022,669,17.78844452,658.9799805,22.7653656,648.9799805,28.67158127,638.9699707,34.59560013,,,699,2.161722422,689,5.327822685,678.9799805,10.7191143,669,17.8577404,658.9799805,22.80095673,648.9799805,29.00637627,638.9699707,35.33753586,,,699,1.979480743,689,5.400846481,678.9799805,10.59309864,669,17.77203178,658.9799805,22.81646538,648.9799805,28.96801758,638.9699707,34.93790054
,,700,1.996423125,690,5.291911602,680,10.27023315,670,17.25985909,660,22.24168968,650,27.57748032,640,34.09226608,,,700,1.910338402,690,5.220060825,680,10.38945389,670,17.37153625,660,22.42332458,650,27.92160225,640,34.37194824,,,700,1.941500068,690,5.233278751,680,10.48402405,670,17.60853958,660,22.58619118,650,27.9980545,640,34.19499207
,,,,691,5.186000824,681,10.11753464,671.0100098,17.12662506,661,21.79666519,651.0100098,27.48256874,641.0100098,33.39573669,,,,,691,5.285142422,681,10.1362915,671.0100098,17.03316689,661,22.05342674,651.0100098,27.45535851,641.0100098,33.55821228,,,,,691,5.13842392,681,10.17920017,671.0100098,17.1283989,661,21.76249313,651.0100098,27.61870193,641.0100098,33.34067917
,,,,692,5.021982193,682,9.957001686,672.0200195,16.57488251,662,21.24871635,652.0200195,26.86021614,642.0200195,32.6736908,,,,,692,5.312594891,682,10.01728153,672.0200195,16.54576874,662,21.38645363,652.0200195,26.6316452,642.0200195,33.27245331,,,,,692,5.048841476,682,9.945227623,672.0200195,16.5888176,662,21.62943459,652.0200195,26.83416557,642.0200195,33.02991486
,,,,693,5.05629158,683,9.813811302,673.039978,16.17985725,663,21.16239738,653.039978,26.13906479,643.039978,32.01261139,,,,,693,5.200282574,683,10.09023762,673.039978,16.37713814,663,21.04130554,653.039978,26.41149521,643.039978,31.93039513,,,,,693,5.037465096,683,10.05073738,673.039978,16.16435051,663,20.94859505,653.039978,26.23581123,643.039978,31.98344231
,,,,694,4.909389496,684,9.56627655,674.0499878,15.91483498,664,20.32075119,654.0499878,25.59514999,644.0499878,31.03114319,,,,,694,5.018772602,684,9.679965973,674.0499878,15.88508511,664,20.68038368,654.0499878,25.7275753,644.0499878,31.76507378,,,,,694,4.925155163,684,9.753543854,674.0499878,16.13890266,664,20.5247097,654.0499878,25.63171387,644.0499878,31.2521534
,,,,695,4.861533642,685,9.490861893,675.0700073,15.45642853,665,20.00544739,655.0700073,25.28163719,645.0700073,30.72514153,,,,,695,4.8185606,685,9.627123833,675.0700073,15.57622051,665,20.32248497,655.0700073,25.17748642,645.0700073,30.66874123,,,,,695,4.830222607,685,9.425328255,675.0700073,15.46346855,665,20.12452126,655.0700073,24.99494362,645.0700073,30.50412369
,,,,696,4.769101143,686,9.266807556,675.9400024,15.20727062,666,19.60170364,655.9400024,24.74453163,645.9400024,29.58896065,,,,,696,4.666748047,686,9.257087708,675.9400024,15.24871826,666,19.55617142,655.9400024,24.91189194,645.9400024,30.5266552,,,,,696,4.762388706,686,9.335952759,675.9400024,15.0036459,666,19.73362541,655.9400024,24.96323013,645.9400024,30.23886681
,,,,697,4.665010929,687,9.124902725,676.9500122,14.97781563,667,19.1446743,656.9500122,23.70035172,646.9500122,29.31433105,,,,,697,4.695904255,687,9.266619682,676.9500122,14.91823673,667,18.96840477,656.9500122,24.26679039,646.9500122,29.38084221,,,,,697,4.592144489,687,9.185379028,676.9500122,14.61642361,667,19.06606674,656.9500122,24.00138474,646.9500122,29.56557655
,,,,698,4.521857738,688,9.021459579,677.9699707,14.21207333,668,18.63536072,657.9699707,23.72445869,647.9699707,29.02927399,,,,,698,4.594068527,688,9.286514282,677.9699707,14.61394787,668,18.65843773,657.9699707,23.57159233,647.9699707,28.99817657,,,,,698,4.476100445,688,9.085790634,677.9699707,14.56365871,668,18.67917633,657.9699707,23.61537743,647.9699707,28.44747543
,,,,699,4.396360874,689,8.985531807,678.9799805,13.98294258,669,18.15018654,658.9799805,23.00572205,648.9799805,28.00567627,,,,,699,4.543629646,689,9.089672089,678.9799805,14.2261076,669,18.22532845,658.9799805,23.00341415,648.9799805,28.11096191,,,,,699,4.394066334,689,8.973730087,678.9799805,14.19105625,669,18.1465416,658.9799805,23.00565147,648.9799805,27.86994934
,,,,700,4.351265907,690,8.806271553,680,13.7511692,670,17.93515205,660,22.62570763,650,27.78166962,,,,,700,4.505737305,690,8.893030167,680,13.95530224,670,18.07074928,660,22.5573864,650,27.9193325,,,,,700,4.390169144,690,8.678865433,680,13.79292107,670,17.99994469,660,22.61908913,650,27.39234543
,,,,,,691,8.39543438,681,13.43984795,671.0100098,17.41180992,661,22.21793365,651.0100098,26.59126091,,,,,,,691,8.744206429,681,13.45888042,671.0100098,17.57310677,661,22.08028221,651.0100098,27.38458252,,,,,,,691,8.685380936,681,13.27373695,671.0100098,17.33653259,661,22.10269356,651.0100098,26.83006096
,,,,,,692,8.570000648,682,13.10467339,672.0200195,16.93670464,662,21.32931328,652.0200195,26.00740814,,,,,,,692,8.591162682,682,13.4917326,672.0200195,17.15722656,662,21.87197876,652.0200195,26.44927216,,,,,,,692,8.496600151,682,13.2819519,672.0200195,17.26372719,662,21.57778549,652.0200195,26.20090294
,,,,,,693,8.200732231,683,13.14570141,673.039978,16.69205856,663,21.45103645,653.039978,25.60286331,,,,,,,693,8.423015594,683,13.17970562,673.039978,16.88963699,663,21.1806469,653.039978,26.01411629,,,,,,,693,8.463598251,683,13.07327461,673.039978,16.62360764,663,21.10929871,653.039978,25.59751701
,,,,,,694,8.099701881,684,12.93572235,674.0499878,16.2742157,664,21.11671829,654.0499878,25.21380806,,,,,,,694,8.507266998,684,13.03924751,674.0499878,16.36360359,664,20.88584328,654.0499878,25.18018532,,,,,,,694,8.208937645,684,12.94311619,674.0499878,16.41441917,664,20.93056679,654.0499878,24.71524811
,,,,,,695,7.967009068,685,12.87502861,675.0700073,15.75687122,665,20.38092041,655.0700073,24.39643478,,,,,,,695,8.117171288,685,12.74465275,675.0700073,15.95162773,665,20.67827034,655.0700073,24.81560135,,,,,,,695,8.144093513,685,12.64368629,675.0700073,15.80719852,665,20.48885727,655.0700073,24.64110947
,,,,,,696,7.841150284,686,12.57832813,675.9400024,15.68044949,666,19.60019302,655.9400024,24.26591301,,,,,,,696,7.998376846,686,12.70401382,675.9400024,15.71901131,666,19.97980881,655.9400024,24.45612335,,,,,,,696,7.822694302,686,12.39711571,675.9400024,15.61124516,666,19.41480064,655.9400024,24.11722946
,,,,,,697,7.696152687,687,12.21232224,676.9500122,15.37642002,667,19.42281723,656.9500122,23.5401268,,,,,,,697,7.698670864,687,12.28475857,676.9500122,15.42635441,667,19.54928017,656.9500122,23.4428463,,,,,,,697,7.757590771,687,12.25831318,676.9500122,15.13644123,667,19.3262558,656.9500122,23.65956879
,,,,,,698,7.640627861,688,12.13300228,677.9699707,14.84669399,668,18.96810722,657.9699707,23.12496567,,,,,,,698,7.618542194,688,11.94948959,677.9699707,14.99671745,668,19.05689049,657.9699707,23.43327332,,,,,,,698,7.529513359,688,11.83436394,677.9699707,14.92568684,668,19.03580284,657.9699707,22.84713554
,,,,,,699,7.340898037,689,11.99335766,678.9799805,14.5333252,669,18.71854401,658.9799805,22.2600708,,,,,,,699,7.421308517,689,12.05376625,678.9799805,14.825387,669,18.7567749,658.9799805,22.57445526,,,,,,,699,7.418881893,689,11.66831589,678.9799805,14.65279198,669,18.63532448,658.9799805,22.54554939
,,,,,,700,7.270579338,690,11.67255783,680,14.32890224,670,18.22555542,660,22.11319542,,,,,,,700,7.390393734,690,11.71468067,680,14.33561039,670,18.51202583,660,22.57799339,,,,,,,700,7.255532742,690,11.74966812,680,14.41840839,670,18.21348572,660,22.00666046
,,,,,,,,691,11.47916794,681,13.97220707,671.0100098,17.86029053,661,21.54875565,,,,,,,,,691,11.5407362,681,13.96537495,671.0100098,17.99561119,661,21.88908577,,,,,,,,,691,11.53678417,681,13.94801235,671.0100098,17.67659378,661,21.2859993
,,,,,,,,692,11.30931473,682,13.73339176,672.0200195,17.55014992,662,21.33819962,,,,,,,,,692,11.22344017,682,13.71207619,672.0200195,17.4199791,662,21.12113762,,,,,,,,,692,11.07885933,682,13.83738041,672.0200195,17.12212944,662,21.3886013
,,,,,,,,693,11.10714149,683,13.5428133,673.039978,16.68638611,663,20.445261,,,,,,,,,693,11.30972862,683,13.68081284,673.039978,16.92041588,663,21.31777382,,,,,,,,,693,11.12732983,683,13.67392445,673.039978,17.04833031,663,20.88385391
,,,,,,,,694,10.87018776,684,13.25564194,674.0499878,16.62000847,664,20.33213234,,,,,,,,,694,10.75735474,684,13.43147182,674.0499878,16.78019524,664,20.09131813,,,,,,,,,694,10.92006016,684,13.35101032,674.0499878,16.45128822,664,20.16148567
,,,,,,,,695,10.64141655,685,13.08001137,675.0700073,16.31934166,665,19.67547035,,,,,,,,,695,10.72537136,685,13.04926872,675.0700073,16.06453514,665,19.93167114,,,,,,,,,695,10.6498785,685,12.94302654,675.0700073,16.08271217,665,20.04514122
,,,,,,,,696,10.54140949,686,12.82928085,675.9400024,16.24894333,666,19.70931625,,,,,,,,,696,10.36142731,686,12.90557575,675.9400024,16.07021141,666,19.22252464,,,,,,,,,696,10.27420712,686,12.86353779,675.9400024,16.07321548,666,19.11170197
,,,,,,,,697,10.2946043,687,12.3292141,676.9500122,15.63076878,667,18.8793602,,,,,,,,,697,10.22538853,687,12.63100147,676.9500122,15.40198612,667,19.29844284,,,,,,,,,697,10.27351761,687,12.78257656,676.9500122,15.33097839,667,18.92864418
,,,,,,,,698,9.937826157,688,12.57810116,677.9699707,15.35794926,668,18.63232422,,,,,,,,,698,9.97422123,688,12.58715916,677.9699707,15.36769581,668,18.70726776,,,,,,,,,698,9.92914772,688,12.49201202,677.9699707,15.03651428,668,18.54180908
,,,,,,,,699,9.770167351,689,12.16462898,678.9799805,14.64107227,669,18.36783409,,,,,,,,,699,9.872561455,689,12.4148159,678.9799805,14.79984856,669,18.04934692,,,,,,,,,699,9.917561531,689,12.16209698,678.9799805,14.71550369,669,17.85528564
,,,,,,,,700,9.742691994,690,12.18897629,680,15.02812958,670,17.89872932,,,,,,,,,700,9.788965225,690,12.16808224,680,14.74372196,670,18.0563755,,,,,,,,,700,9.593852997,690,12.15714931,680,14.86700726,670,18.04088211
,,,,,,,,,,691,11.96988869,681,14.29361916,671.0100098,17.43927383,,,,,,,,,,,691,11.90854836,681,14.51061344,671.0100098,17.47326088,,,,,,,,,,,691,11.94808674,681,14.37022114,671.0100098,17.63007164
,,,,,,,,,,692,11.53650379,682,14.05642509,672.0200195,17.01009941,,,,,,,,,,,692,11.77009773,682,13.98868179,672.0200195,16.87334824,,,,,,,,,,,692,11.70363998,682,13.75881386,672.0200195,17.03530502
,,,,,,,,,,693,11.37493324,683,13.70371056,673.039978,16.21913338,,,,,,,,,,,693,11.41111851,683,13.98153114,673.039978,17.05611038,,,,,,,,,,,693,11.365242,683,13.93931007,673.039978,16.43380356
,,,,,,,,,,694,11.08284187,684,13.35331631,674.0499878,15.97219658,,,,,,,,,,,694,11.27316284,684,13.54747391,674.0499878,16.66327286,,,,,,,,,,,694,11.0995903,684,13.30524254,674.0499878,16.29136658
,,,,,,,,,,695,10.90159988,685,13.47772217,675.0700073,16.06106949,,,,,,,,,,,695,11.12247181,685,13.29458714,675.0700073,15.67089748,,,,,,,,,,,695,10.96912479,685,13.42489719,675.0700073,15.95561409
,,,,,,,,,,696,10.85883236,686,13.25203609,675.9400024,15.84246349,,,,,,,,,,,696,10.97023582,686,13.23082638,675.9400024,15.76243496,,,,,,,,,,,696,10.77842903,686,12.84511948,675.9400024,15.26575375
,,,,,,,,,,697,10.45629406,687,12.85132027,676.9500122,15.1593914,,,,,,,,,,,697,10.53529453,687,12.88973331,676.9500122,15.23569012,,,,,,,,,,,697,10.51201439,687,12.7844162,676.9500122,15.21573448
,,,,,,,,,,698,10.24001312,688,12.81681442,677.9699707,14.72999668,,,,,,,,,,,698,10.37213421,688,12.68246555,677.9699707,14.90832996,,,,,,,,,,,698,10.36308289,688,12.80286312,677.9699707,14.86285782
,,,,,,,,,,699,10.11565495,689,12.42969227,678.9799805,14.25399399,,,,,,,,,,,699,10.29982853,689,12.6607933,678.9799805,14.70629692,,,,,,,,,,,699,10.23233128,689,12.36619568,678.9799805,14.61033344
,,,,,,,,,,700,9.969367981,690,12.16002274,680,14.54779434,,,,,,,,,,,700,9.915473938,690,12.288867,680,14.60167313,,,,,,,,,,,700,10.00400448,690,12.0614481,680,14.41872978
,,,,,,,,,,,,691,12.04641438,681,13.91671085,,,,,,,,,,,,,691,11.88375664,681,13.79587269,,,,,,,,,,,,,691,11.83900356,681,13.46548557
,,,,,,,,,,,,692,11.69237995,682,13.79227829,,,,,,,,,,,,,692,11.44146252,682,13.63256073,,,,,,,,,,,,,692,11.84513283,682,13.77374363
,,,,,,,,,,,,693,11.50856781,683,13.28074455,,,,,,,,,,,,,693,11.54617023,683,13.55587482,,,,,,,,,,,,,693,11.62049294,683,13.69095802
,,,,,,,,,,,,694,11.41536427,684,13.09297848,,,,,,,,,,,,,694,11.71784973,684,13.15872669,,,,,,,,,,,,,694,11.45044708,684,13.06882858
,,,,,,,,,,,,695,11.09965515,685,13.11985111,,,,,,,,,,,,,695,11.3449297,685,13.21097565,,,,,,,,,,,,,695,11.08076191,685,13.19021034
,,,,,,,,,,,,696,10.77795029,686,13.0876646,,,,,,,,,,,,,696,11.07892609,686,13.10867977,,,,,,,,,,,,,696,10.74441814,686,12.79251575
,,,,,,,,,,,,697,10.60817814,687,12.67646217,,,,,,,,,,,,,697,10.90487385,687,12.69609928,,,,,,,,,,,,,697,10.86225986,687,12.67347717
,,,,,,,,,,,,698,10.41569042,688,12.83687973,,,,,,,,,,,,,698,10.59488583,688,12.65609646,,,,,,,,,,,,,698,10.45136642,688,12.56167412
,,,,,,,,,,,,699,10.39490032,689,12.50965786,,,,,,,,,,,,,699,10.4996109,689,12.44845295,,,,,,,,,,,,,699,10.16459942,689,12.15320778
,,,,,,,,,,,,700,10.18562031,690,11.88128567,,,,,,,,,,,,,700,10.24147224,690,12.14603329,,,,,,,,,,,,,700,10.11725235,690,12.06984329
,,,,,,,,,,,,,,691,11.78792953,,,,,,,,,,,,,,,691,11.98590565,,,,,,,,,,,,,,,691,11.97497272
,,,,,,,,,,,,,,692,11.55625629,,,,,,,,,,,,,,,692,11.8255825,,,,,,,,,,,,,,,692,11.52448082
,,,,,,,,,,,,,,693,11.42029381,,,,,,,,,,,,,,,693,11.34886551,,,,,,,,,,,,,,,693,10.95892334
,,,,,,,,,,,,,,694,11.13193417,,,,,,,,,,,,,,,694,11.32067585,,,,,,,,,,,,,,,694,11.17195034
,,,,,,,,,,,,,,695,11.32349491,,,,,,,,,,,,,,,695,11.07919025,,,,,,,,,,,,,,,695,11.07687187
,,,,,,,,,,,,,,696,10.92648983,,,,,,,,,,,,,,,696,11.05866241,,,,,,,,,,,,,,,696,10.78476524
,,,,,,,,,,,,,,697,10.57780266,,,,,,,,,,,,,,,697,10.70932674,,,,,,,,,,,,,,,697,10.63441181
,,,,,,,,,,,,,,698,10.29975033,,,,,,,,,,,,,,,698,10.45495129,,,,,,,,,,,,,,,698,10.20936108
,,,,,,,,,,,,,,699,10.06223679,,,,,,,,,,,,,,,699,10.25153351,,,,,,,,,,,,,,,699,9.996768951
,,,,,,,,,,,,,,700,9.881032944,,,,,,,,,,,,,,,700,10.1282959,,,,,,,,,,,,,,,700,10.0806036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:   0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:Slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 510.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 490.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 480.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 490.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:   0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:Slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New:0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 510.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 490.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 480.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 490.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 470.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New: 480.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
